م | رقم صفحة المصدر | رقم الصفحة في الكتاب | القسم/الوحدة | عنوان الدرس/الموضوع | اسم الصورة الأصلي | اسم الصورة الجديد
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1 | 1 |  | Front Matter | Front Cover | صفحة_1.jpg | front001 - Front Cover.jpg
2 | 2 |  | Front Matter | Title Page - English Course Pupil's Book 6 | صفحة_2.jpg | front002 - Title Page - English Course Pupil's Book 6.jpg
3 | 3 |  | Front Matter | Contents | صفحة_3.jpg | front003 - Contents.jpg
4 | 4 |  | Front Matter | Blank Intro Page | صفحة_4.jpg | front004 - Blank Intro Page.jpg
5 | 5 | 1 | Unit 1 - Describing things | Shapes, coverings and materials | صفحة_5.jpg | p001 - Shapes, coverings and materials.jpg
6 | 6 | 2 | Unit 1 - Describing things | Lost | صفحة_6.jpg | p002 - Lost.jpg
7 | 7 | 3 | Unit 1 - Describing things | An unusual animal | صفحة_7.jpg | p003 - An unusual animal.jpg
8 | 8 | 4 | Unit 1 - Describing things | Language review 1 | صفحة_8.jpg | p004 - Language review 1.jpg
9 | 9 | 5 | Unit 1 - Describing things | The countryside | صفحة_9.jpg | p005 - The countryside.jpg
10 | 10 | 6 | Unit 1 - Describing things | A drive in the countryside | صفحة_10.jpg | p006 - A drive in the countryside.jpg
11 | 11 | 7 | Unit 1 - Describing things | Language review 2 | صفحة_11.jpg | p007 - Language review 2.jpg
12 | 12 | 8 | Unit 1 - Describing things | A view from a window | صفحة_12.jpg | p008 - A view from a window.jpg
13 | 13 | 9 | Unit 2 - Reporting events | Newspaper headlines | صفحة_13.jpg | p009 - Newspaper headlines.jpg
14 | 14 | 10 | Unit 2 - Reporting events | Today's news | صفحة_14.jpg | p010 - Today's news.jpg
15 | 15 | 11 | Unit 2 - Reporting events | Don and Debbie: dreamers | صفحة_15.jpg | p011 - Don and Debbie - dreamers.jpg
16 | 16 | 12 | Unit 2 - Reporting events | Language review 3 | صفحة_16.jpg | p012 - Language review 3.jpg
17 | 17 | 13 | Unit 2 - Reporting events | Natural disasters | صفحة_17.jpg | p013 - Natural disasters.jpg
18 | 18 | 14 | Unit 2 - Reporting events | A newspaper report | صفحة_18.jpg | p014 - A newspaper report.jpg
19 | 19 | 15 | Unit 2 - Reporting events | Language review 4 | صفحة_19.jpg | p015 - Language review 4.jpg
20 | 20 | 16 | Unit 2 - Reporting events | Armenia - 7, December 1988 | صفحة_20.jpg | p016 - Armenia - 7, December 1988.jpg
21 | 21 | 17 | Unit 3 - Looking for a job | Getting work experience | صفحة_21.jpg | p017 - Getting work experience.jpg
22 | 22 | 18 | Unit 3 - Looking for a job | Thinking about the future | صفحة_22.jpg | p018 - Thinking about the future.jpg
23 | 23 | 19 | Unit 3 - Looking for a job | Getting careers advice | صفحة_23.jpg | p019 - Getting careers advice.jpg
24 | 24 | 20 | Unit 3 - Looking for a job | Language review 5 | صفحة_24.jpg | p020 - Language review 5.jpg
25 | 25 | 21 | Unit 3 - Looking for a job | Jobs and qualities | صفحة_25.jpg | p021 - Jobs and qualities.jpg
26 | 26 | 22 | Unit 3 - Looking for a job | Applying for a job | صفحة_26.jpg | p022 - Applying for a job.jpg
27 | 27 | 23 | Unit 3 - Looking for a job | Language review 6 | صفحة_27.jpg | p023 - Language review 6.jpg
28 | 28 | 24 | Unit 3 - Looking for a job | A business letter | صفحة_28.jpg | p024 - A business letter.jpg
29 | 29 | 25 | Unit 4 - Tables, flow charts and diagrams | Food | صفحة_29.jpg | p025 - Food.jpg
30 | 30 | 26 | Unit 4 - Tables, flow charts and diagrams | Learning to cook | صفحة_30.jpg | p026 - Learning to cook.jpg
31 | 31 | 27 | Unit 4 - Tables, flow charts and diagrams | Agriculture in Yemen | صفحة_31.jpg | p027 - Agriculture in Yemen.jpg
32 | 32 | 28 | Unit 4 - Tables, flow charts and diagrams | Language review 7 | صفحة_32.jpg | p028 - Language review 7.jpg
33 | 33 | 29 | Unit 4 - Tables, flow charts and diagrams | Words and more words | صفحة_33.jpg | p029 - Words and more words.jpg
