م | رقم صفحة المصدر | رقم الصفحة في الكتاب | القسم/الوحدة | عنوان الدرس/الموضوع | اسم الصورة الأصلي | اسم الصورة الجديد
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1 | 1 |  | الصفحات التمهيدية | غلاف الكتاب | PDF page 1 | تمهيدي001 - غلاف الكتاب.jpg
2 | 2 | 1 | الصفحات التمهيدية | صفحة العنوان | PDF page 2 | ص001 - صفحة العنوان.jpg
3 | 3 | 2 | الصفحات التمهيدية | النشيد الوطني | PDF page 3 | ص002 - النشيد الوطني.jpg
4 | 4 | 3 | الصفحات التمهيدية | تصدير | PDF page 4 | ص003 - تصدير.jpg
5 | 5 | 4 | الصفحات التمهيدية | مقدمة | PDF page 5 | ص004 - مقدمة.jpg
6 | 6 | 5 | الصفحات التمهيدية | المحتويات | PDF page 6 | ص005 - المحتويات.jpg
7 | 7 | 6 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | الاستعمار الأوروبي والوطن العربي | PDF page 7 | ص006 - الاستعمار الأوروبي والوطن العربي.jpg
8 | 8 | 7 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | الاستعمار الأوروبي والوطن العربي | PDF page 8 | ص007 - الاستعمار الأوروبي والوطن العربي.jpg
9 | 9 | 8 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | الاستعمار الأوروبي والوطن العربي | PDF page 9 | ص008 - الاستعمار الأوروبي والوطن العربي.jpg
10 | 10 | 9 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | الاستعمار الأوروبي والوطن العربي | PDF page 10 | ص009 - الاستعمار الأوروبي والوطن العربي.jpg
11 | 11 | 10 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | الاستعمار الأوروبي والوطن العربي | PDF page 11 | ص010 - الاستعمار الأوروبي والوطن العربي.jpg
12 | 12 | 11 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | الاستعمار الأوروبي والوطن العربي | PDF page 12 | ص011 - الاستعمار الأوروبي والوطن العربي.jpg
13 | 13 | 12 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | الاستعمار الأوروبي والوطن العربي | PDF page 13 | ص012 - الاستعمار الأوروبي والوطن العربي.jpg
14 | 14 | 13 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | الاستعمار الأوروبي والوطن العربي | PDF page 14 | ص013 - الاستعمار الأوروبي والوطن العربي.jpg
15 | 15 | 14 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | الاستعمار البريطاني | PDF page 15 | ص014 - الاستعمار البريطاني.jpg
16 | 16 | 15 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | الاستعمار البريطاني | PDF page 16 | ص015 - الاستعمار البريطاني.jpg
17 | 17 | 16 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | الاستعمار البريطاني | PDF page 17 | ص016 - الاستعمار البريطاني.jpg
